TransitID,stop_name,direction_id,SequenceOrderFinal
78,Harrison,1,3.343333e-002
78,Journal Square,1,0.1834333
78,Grove Street,1,0.2501
79,Grove Street,1,0.0001
79,Newport,1,6.676666e-002
80,Grove Street,1,0.0001
80,Exchange Place,1,0.0501
80,World Trade Center,1,0.1272536
85,Harrison,1,0.0001
86,Harrison,1,0.0001
86,Journal Square,1,0.1501
87,Newark,1,0.0001
87,Harrison,1,3.343333e-002
88,Harrison,1,0.0001
88,Journal Square,1,0.1501
88,Grove Street,1,0.2167667
88,Exchange Place,1,0.2667667
88,World Trade Center,1,0.3439202
98,Hoboken,1,0.0001
99,Journal Square,1,0.0001
99,Grove Street,1,6.676666e-002
99,Newport,1,0.1334333
99,Hoboken,1,0.1667667
100,Newport,1,1.708718e-002
100,Hoboken,1,2.210855e-002
101,Hoboken,1,0.0001
101,Newport,1,0.0501
101,Exchange Place,1,0.1001
101,World Trade Center,1,0.1667667
113,Journal Square,1,0.0001
114,Newark,1,0.0001
114,Harrison,1,3.343333e-002
114,Journal Square,1,0.1834333
115,Journal Square,1,0.0001
115,Grove Street,1,6.676666e-002
115,Newport,1,0.1334333
116,Journal Square,1,0.0001
116,Grove Street,1,6.676666e-002
116,Exchange Place,1,0.1167667
116,World Trade Center,1,0.1939202
123,Newark,1,0.0001
124,Newark,1,0.0001
124,Harrison,1,3.343333e-002
124,Journal Square,1,0.1834333
124,Grove Street,1,0.2501
124,Exchange Place,1,0.3001
124,World Trade Center,1,0.3772536
136,Newport,1,0.0001
137,Newport,1,0.0001
137,Exchange Place,1,0.0501
137,World Trade Center,1,0.1167667
147,World Trade Center,1,0.0001
