shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0,40.749114,-73.988273,0,0
0,40.747609531294,-73.98938738623,1,0.11919115
0,40.745953428053,-73.990544878296,2,0.24866188
0,40.744652691968,-73.991536875641,3,0.35245222
0,40.743303108639,-73.992516317444,4,0.45886036
0,40.7429,-73.992805,5,0.49054666
0,40.742912,-73.992797,6,0.49147746
0,40.742373088497,-73.993207493393,7,0.5344664
0,40.739914186254,-73.994975306885,8,0.72792118
0,40.738889921445,-73.995715596573,9,0.80860384
0,40.737975823747,-73.996414320099,10,0.88158655
0,40.737354,-73.996849,11,0.93020268
0,40.737361,-73.996841,12,0.93084345
0,40.736202622701,-73.997659249985,13,1.02161832
0,40.735126148858,-73.99848045369,14,1.10752335
0,40.734544587943,-73.99889425264,15,1.15317122
0,40.734359599612,-73.999038114086,16,1.16800601
0,40.734249,-73.999107,17,1.17645581
0,40.734096041009,-73.999482476196,18,1.19877373
0,40.733917817063,-74.00069030423,19,1.26319463
0,40.733818495684,-74.001435347221,20,1.30279883
0,40.733714009819,-74.002191152115,21,1.34302059
0,40.733615,-74.002822,22,1.37674839
0,40.73336,-74.004241,23,1.45309802
0,40.733139,-74.005828,24,1.53757419
0,40.733055,-74.006408,25,1.56848884
0,40.732933,-74.007072,26,1.60425889
0,40.73308746747,-74.007129667494,27,1.6153499
0,40.732852,-74.008970392868,28,1.71308195
0,40.732693389721,-74.01010167263,29,1.77331391
0,40.732595830783,-74.010796364765,30,1.81030309
0,40.732538921336,-74.012307789545,31,1.88952967
0,40.732538921336,-74.013819214325,32,1.96865864
0,40.732356404521,-74.026992769806,33,2.65846195
0,40.732338971466,-74.028620501297,34,2.74368881
0,40.732519468235,-74.029181869003,35,2.7756149
0,40.732688786023,-74.029480413986,36,2.79513762
0,40.733053091233,-74.029469365051,37,2.82031404
0,40.733844273609,-74.02941658728,38,2.87504662
0,40.735022048948,-74.029384657394,39,2.95643629
0,40.735359248297,-74.029411608459,40,2.979776
0,40.735643782982,-74.029400879623,41,2.99944256
0,40.735858,-74.02922,42,3.01701283
0,40.73572242756,-74.029348296959,43,3.02853876
0,40.735586854844,-74.029390763229,44,3.03816579
0,40.735249760075,-74.029387068787,45,3.06145641
0,40.733534287751,-74.029407914017,46,3.1799834
0,40.732958046165,-74.029483048935,47,3.21998979
0,40.732722356588,-74.029502417969,48,3.23630527
0,40.732516518203,-74.029641026428,49,3.2522711
0,40.732339199141,-74.029888109756,50,3.27008739
0,40.732243050149,-74.030093820068,51,3.28274108
0,40.732201210325,-74.030670797562,52,3.3130862
0,40.732006486851,-74.031624637543,53,3.36480424
0,40.731798908521,-74.032016545284,54,3.38983777
0,40.73152628919,-74.032365537682,55,3.41607906
0,40.731123587311,-74.032735987751,56,3.44999456
0,40.7307046227,-74.032956234116,57,3.48115305
0,40.729896276221,-74.033286692451,58,3.53962024
0,40.729264450602,-74.033457286038,59,3.58417743
0,40.728460711967,-74.033596227011,60,3.64018215
0,40.727022779971,-74.033831727509,61,3.74029113
0,40.726957735152,-74.033853185181,62,3.74492341
0,40.726446935256,-74.033904642853,63,3.78031727
0,40.725837224379,-74.034018100525,64,3.822859
0,40.725192076194,-74.034152532402,65,3.86798465
0,40.724265206351,-74.034341990074,66,3.93278586
0,40.723556074991,-74.034461869698,67,3.98218018
0,40.722921860138,-74.03457050528,68,4.02636575
0,40.721937818752,-74.034758869698,69,4.09506492
0,40.721129925323,-74.034866191124,70,4.15116446
0,40.720020231466,-74.035115750649,71,4.22893891
0,40.719156736781,-74.03525538623,72,4.28904414
0,40.718494015492,-74.035377479485,73,4.33527575
0,40.717788004038,-74.03555167889,74,4.38489974
0,40.717717195823,-74.035568936599,75,4.38987499
0,40.71764232166,-74.035631791862,76,4.39600626
0,40.717563725967,-74.035872837374,77,4.40974724
0,40.71754713485,-74.036049509871,78,4.41906946
0,40.717548840181,-74.036228864576,79,4.42846233
0,40.717559185502,-74.036387432162,80,4.43679667
0,40.717616288386,-74.036688156825,81,4.45303091
0,40.717748790406,-74.037125991402,82,4.47771845
0,40.717911424834,-74.037624882278,83,4.50615709
0,40.718288119192,-74.038763262566,84,4.57120234
0,40.718732591583,-74.040144005943,85,4.649756
0,40.719178394675,-74.041478041664,86,4.72610106
0,40.719496248755,-74.042529869381,87,4.78539586
0,40.719635208538,-74.042465898148,88,4.79556427
0,40.719643340038,-74.042465898148,89,4.79612387
0,40.719500868483,-74.042603219574,90,4.80831412
0,40.720358891316,-74.045323847885,91,4.96261831
0,40.720757445062,-74.04663735582,92,5.03670525
0,40.721066373677,-74.047581816147,93,5.09056934
0,40.721352192974,-74.048406428589,94,5.13804969
0,40.721718144561,-74.049577378326,95,5.20437211
0,40.721944571471,-74.050344395523,96,5.24747405
0,40.72207355878,-74.051131648163,97,5.28964863
0,40.722343087319,-74.052003445786,98,5.33894985
0,40.722677830594,-74.053157277802,99,5.40364186
0,40.722916549002,-74.053750447113,100,5.43880864
0,40.723392271158,-74.054385600555,101,5.48556694
0,40.724159284557,-74.055302431244,102,5.55707099
0,40.724623962188,-74.05572121167,103,5.59594925
0,40.725664738473,-74.056394076752,104,5.67602342
0,40.726294875362,-74.056513025162,105,5.72000277
0,40.726950783661,-74.056949244736,106,5.77074982
0,40.727874041974,-74.057978921982,107,5.85426854
0,40.728628913692,-74.058836584686,108,5.92309073
0,40.72945417953,-74.05970780426,109,5.9961089
0,40.730354073776,-74.060789586014,110,6.08021243
0,40.731188903129,-74.061807636276,111,6.15874727
0,40.732040202666,-74.062827583359,112,6.23818784
0,40.732397751768,-74.063279990768,113,6.2724112
0,40.73258209059,-74.063505363785,114,6.2897729
0,40.732986,-74.062889,115,6.33243473
1,40.732986,-74.062889,0,0
1,40.732727272289,-74.063402824745,1,0.03229824
1,40.732167566503,-74.062772298286,2,0.08314187
1,40.731530620604,-74.062041483467,3,0.1414558
1,40.7307132912,-74.06111562635,4,0.2158765
1,40.72921990241,-74.059373379654,5,0.35359462
1,40.727974448233,-74.057942910728,6,0.4676718
1,40.727344297749,-74.057254081368,7,0.52420674
1,40.726739828339,-74.056691461655,8,0.57531344
1,40.725940326021,-74.056477910728,9,0.63167134
1,40.725407548839,-74.056307793007,10,0.66954329
1,40.724755627691,-74.055867750015,11,0.72013556
1,40.724235105447,-74.055457936523,12,0.76201358
1,40.723660480525,-74.05472130954,13,0.81736541
1,40.72313602273,-74.053990817474,14,0.87005292
1,40.722721306387,-74.053275037048,15,0.91723005
1,40.722451763522,-74.052416374344,16,0.96589525
1,40.722221390818,-74.051574645508,17,1.01275569
1,40.722038384402,-74.050918034393,18,1.04938851
1,40.721832187783,-74.049960084656,19,1.10153268
1,40.721489308981,-74.048849167984,20,1.16434175
1,40.721165217504,-74.047871493393,21,1.22021819
1,40.720709817871,-74.04638940741,22,1.30396022
1,40.720498360225,-74.045658882278,23,1.34490781
1,40.720246357732,-74.044931119049,24,1.38680493
1,40.720071567817,-74.044281609787,25,1.42289595
1,40.719800436315,-74.043471357147,26,1.46927522
1,40.719678463992,-74.043058296959,27,1.49248832
1,40.719525263031,-74.042581761902,28,1.5195937
1,40.719647405788,-74.04246053373,29,1.53015357
1,40.719545761968,-74.042433711639,30,1.5373156
1,40.719231249772,-74.041708711639,31,1.58105859
1,40.719131039338,-74.041410008598,32,1.59816387
1,40.719045657877,-74.041163245369,33,1.6123684
1,40.718691977911,-74.040037005943,34,1.67620549
1,40.718161885249,-74.038351036354,35,1.77178638
1,40.717655221287,-74.03681973674,36,1.85928127
1,40.717560329755,-74.03636254097,37,1.88410403
1,40.717555575666,-74.036080298904,38,1.89888737
1,40.717569462129,-74.035872122646,39,1.90983073
1,40.717635360539,-74.035674157202,40,1.92115289
1,40.717706935479,-74.03557249227,41,1.9284191
1,40.718410749169,-74.035403772114,42,1.97784174
1,40.71998907968,-74.035118379593,43,2.08790786
1,40.722377124567,-74.034647531708,44,2.25472984
1,40.723641427472,-74.034466912689,45,2.34259103
1,40.725505189569,-74.03408812632,46,2.4728768
1,40.726965865757,-74.033837091927,47,2.57464725
1,40.727039041165,-74.033863914017,48,2.57989413
1,40.727662524409,-74.033734269836,49,2.62350208
1,40.72832913315,-74.03363889682,50,2.66982801
1,40.729200561025,-74.033466048935,51,2.73071134
1,40.729875243665,-74.033264641525,52,2.778503
1,40.730673439805,-74.033015403427,53,2.83517318
1,40.730960955552,-74.03279838623,54,2.85805748
1,40.731269944558,-74.032603724854,55,2.88171349
1,40.731615418036,-74.032247232788,56,2.91201301
1,40.731877354984,-74.031910944428,57,2.93726147
1,40.732107909864,-74.031301519821,58,2.97292279
1,40.732225723646,-74.030686349182,59,3.00614229
1,40.732243050149,-74.03011527774,60,3.03606422
1,40.732355459037,-74.029802279068,61,3.05419816
1,40.732549037903,-74.029598111084,62,3.0713192
1,40.732722356588,-74.029491689133,63,3.08452654
